sitetype,sitenum,latitude,longitude,call_sign,location_address,location_city,location_county,location_state,ground_elevation,height_of_support_structure,overall_height_of_structure,structure_type,licensee_entity_name,licensee_first_name,licensee_last_name,licensee_phone,licensee_fax,licensee_email,licensee_street_address,licensee_city,licensee_state,licensee_zip_code,licensee_po_box,licensee_attention_line,contact_entity_name,contact_first_name,contact_last_name,contact_phone,contact_fax,contact_email,contact_street_address,contact_city,contact_state,contact_zip_code,contact_po_box,contact_attention_line,emmitter_1_freqs_mhz,emmitter_2_freqs_mhz,emmitter_3_freqs_mhz,emmitter_4_freqs_mhz,emmitter_5_freqs_mhz
Multiple,9,37.37975,-121.940194444444,WQMM210,3120 De La Cruz Blvd,Santa Clara,SANTA CLARA,CA,9.6,49.8712,58.0737,Building w/Antenna,Clearwire Spectrum Holdings III LLC,,,7034334000,7034334483,,12502 Sunrise Valley Drive,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Corporation,Robin,Cohen,7034334000,7034334483,,12502 Sunrise Valley Drive,RESTON,VA,20196    ,,,/23025/23175,,,,
Multiple,10,37.3725,-121.918055555556,WPXL722,1995 NORTH FIRST STREET,SAN JOSE,SANTA CLARA,CA,12.2,44.9497,44.9497,Building,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/856.8125/858.8125/859.8125,,,,
Multiple,10,37.3726111111111,-121.918305555556,WQLM438,1995 N 1ST ST,SAN JOSE,SANTA CLARA,CA,13,39.0439,44.9497,Building w/Antenna,T-MOBILE LICENSE LLC,,,4253834000,4253834040,dan.menser@t-mobile.com,12920 SE 38TH STREET,BELLEVUE,WA,98006    ,,DAN MENSER,,,,,,,,,,,,,/19465,,,,
Multiple,11,37.4199444444444,-121.95775,WPME979,,,SANTA CLARA,CA,,,,NA,AG ASSOCIATES,,,4089352119,4089352755,,4425 FORTRAN DR,SAN JOSE,CA,951342300,,EMERGENCY RESPONSE TEAM DON WILKINS,SPECTRUM RESOURCES,,,,4082557910,,10525 MIRA VISTA RD,CUPERTINO,CA,950142707,,,/462.8125/464.7875/467.8125/469.7875,,,,
Multiple,11,37.4202777777778,-121.9575,WPSW420,4405 FORTRAN COURT,SAN JOSE,SANTA CLARA,CA,2.1,38.0596,38.0596,Building,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334483,,12502 Sunrise Valley Drive,Reston,VA,20191    ,,,/858.8125/859.8125,,,,
Multiple,12,37.433,-121.888833333333,WPPN204,995 LOS COCHES,MILPITAS,SANTA CLARA,CA,11,65.62,65.62,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334483,,12502 Sunrise Valley Drive,Reston,VA,20191    ,,,/857.6125/858.6125/859.6125,,,,
Multiple,12,37.433,-121.888833333333,WPPR621,995 LOS COCHES,MILPITAS,SANTA CLARA,CA,11,65.62,65.62,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/858.8125/859.8125,,,,
Multiple,13,37.3868888888889,-121.956333333333,WPPM998,3748 BASSETT ST,SANTA CLARA,SANTA CLARA,CA,6,62.339,62.339,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334142,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334142,,2001 EDMUND HALLEY DRIVE,Reston,VA,20191    ,,,/852.7125,,,,
Multiple,13,37.3868888888889,-121.956333333333,WPPR615,3748 BASSETT ST,SANTA CLARA,SANTA CLARA,CA,6,62.339,62.339,Tower,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/858.8125/859.8125,,,,
Multiple,14,37.3646666666667,-121.909111111111,WPPR407,1471 N 4TH ST,SAN JOSE,SANTA CLARA,CA,15,68.901,68.901,Building,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS VARESA0209,Reston,VA,20196    ,,,/858.8125/859.8125,,,,
Multiple,14,37.3646666666667,-121.909111111111,WPPN304,1471 N 4TH ST,SAN JOSE,SANTA CLARA,CA,15,68.901,68.901,Building,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334035,,2001 EDMUND HALLEY DRIVE,RESTON,VA,20191    ,,ROBIN J COHEN,,,,,,,,,,,,,/851.7875/852.0375/853.3875/853.4625/853.6125/854.3625/854.4375/854.6375/856.6875/857.6125/857.6875/858.6125/858.6875/859.6125/859.6875/862.0125/862.0375/862.0625/862.1125/862.1375/862.1625/862.1875/862.2125/862.2375/862.2625/862.2875/862.3125/862.3375/862.3625/862.3875/862.4375/862.4625/862.4875/862.5125/862.5375/862.5625/862.5875/862.6125/862.6375/862.6625/862.7125/862.7625/862.7875/862.8125/862.8375/862.8625/862.8875/862.9625/862.9875/863.0125/863.0375/863.0625/863.1125/863.1375/863.1625/863.1875/863.2375/863.2625/863.2875/863.3125/863.3375/863.3625/863.3875/863.4375/863.4625/863.4875/863.5125/863.5375/863.5625/863.5875/863.6125/863.6375/863.6625/863.7125/863.7625/863.7875/863.8125/863.8375/863.8625/863.8875/863.9625/863.9875/864.0125/864.0375/864.0625/864.1125/864.1375/864.1625/864.1875/864.2375/864.2625/864.2875/864.3125/864.3375/864.3625/864.3875/864.4375/864.4625/864.4875/864.5125/864.5375/864.5625/864.5875/864.6125/864.6375/864.6625/864.7125/864.7625/864.7875/864.8125/864.8375/864.8625/864.8875/864.9625/864.9875/865.0125/865.0375/865.0625/865.1125/865.1375/865.1625/865.1875/865.2375/865.2625/865.2875/865.3125/865.3375/865.3625/865.3875/865.4375/865.4625/865.4875/865.5125/865.5375/865.5625/865.5875/865.6125/865.6375/865.6625/865.7125/865.7625/865.7875/865.8125/865.8375/865.8625/865.8875/865.9625/865.9875,,,,
Multiple,15,37.3616111111111,-121.928833333333,WPIR422,,,SANTA CLARA,CA,,,,NA,HERTZ CORPORATION,,,4052805167,,,5601 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132    ,,,TEKLOGIX INC,,,,6063716422,,1810 AIRPORT EXCHANGE BLVD STE 500,ERLANGER,KY,41018    ,,,/461.2625/461.4375/461.6625/463.2625/463.6375/464.3375/466.2375/466.2625/466.4125/466.4375/466.6625/466.7875/466.8375/468.2625/468.6375/469.3375,,,,
Multiple,15,37.3616111111111,-121.928833333333,WPRT236,SAN JOSE INTL AIRPORT,SAN JOSE,SANTA CLARA,CA,18,36.091,45.934,Building,CONTINENTAL AIRLINES INC,,,2815534821,2815534822,,,HOUSTON,TX,77205    ,60307,JACK CURTIS,CONTINENTAL AIRLINES IAHGR,JACK,CURTIS,2815534821,2815534822,,PO BOX 60307 AMF,HOUSTON,TX,77205    ,,,/460.75,,,,
Multiple,15,37.3616111111111,-121.929388888889,WPIZ701,,SAN JOSE,SANTA CLARA,CA,,,,NA,FEDERAL EXPRESS CORPORATION,,,9012634213,9012634220,tjwainscott@fedex.com,,COLLIERVILLE,TN,380270160,160,THOMAS WAINSCOTT,LAO   SCJ,JUDITH,WILSON,8008864222,7173379157,judy.wilson@enterprisewireless.org,122 BALTIMORE STREET,GETTYSBURG,PA,173251938,,,/465.725,,,,
Multiple,15,37.3618611111111,-121.929,WPUY405,,,,,0,,,NA,FCI 900 INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,SPRINT NEXTEL CORPORATION,ROBERT,MCNAMARA,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,,/896,,,,
Multiple,15,37.3616111111111,-121.928833333333,WQHR717,SAN JOSE INTL AIRPORT,SAN JOSE,SANTA CLARA,CA,18,36.091,45.934,Building,United Airlines Inc,,,8477006966,8477007129,pete.incaini@united.com,233 S Wacker Drive,Chicago,IL,60606    ,,Pete Incaini Manager Ground Radio,Fox Ridge Communications Inc,Ralph,Haller,7173347991,7173345656,rhaller@frci.com,122 Baltimore Street,Gettysburg,PA,17325    ,,,/460.75,,,,
Multiple,15,37.3616111111111,-121.929388888889,WPNR679,,,SANTA CLARA,CA,,,,NA,amature radio emergncy services east bay section inc,,,5414693943,5414693943,paul@ke6nvu.org,421 buena vista loop,brookings,OR,97415    ,,PAUL CARLIN,SPECTRUM RESOURCES,,,4082557910,4082557910,,10525 MIRA VISTA RD,CUPERTINO,CA,950142707,,,/462.0625/463.2375/463.8875/463.9375/464.4625/467.0625/468.2375/468.8875/468.9375/469.4625,,,,
Multiple,15,37.3618611111111,-121.929,WPUY405,SAN JOSE INTERNATIONAL AIRPORT,SAN JOSE,SANTA CLARA,CA,18,49.215,49.215,Building,FCI 900 INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,SPRINT NEXTEL CORPORATION,ROBERT,MCNAMARA,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,,/936.9625,,,,
Multiple,16,37.4463888888889,-121.892222222222,WPWM999,1000 JACKLIN RD,MILPITAS,SANTA CLARA,CA,7.3,53.1522,60.0423,Pole,NEXTEL OF CALIFORNIA INC,,,7034334000,7034334483,,12502 Sunrise Valley Drive MS  VARESA0209,RESTON,VA,20196    ,,ROBIN J COHEN,Sprint Nextel Corporation,Robert,McNamara,7034334000,7034334483,,12502 Sunrise Valley Drive,Reston,VA,20191    ,,,/858.8125/859.8125,,,,
Multiple,16,37.4463333333333,-121.892166666667,KNKA211,1000 Jacklin Road,Milpitas,SANTA CLARA,CA,7.3,60.0423,60.0423,Pole,GTE MOBILNET OF CALIFORNIA LIMITED PARTNERSHIP,,,7707971070,7707971036,LicensingCompliance@VerizonWireless.com,1120 Sanctuary Pkwy #150 GASA5REG,ALPHARETTA,GA,300097630,,Regulatory,Verizon Wireless,Licensing,Manager,7707971070,7707971036,LicensingCompliance@VerizonWireless.com,1120 Sanctuary Pkwy #150 GASA5REG,Alpharetta,GA,300097630,,,,,/880.02/835.02/891.51/846.51,/880.02/835.02/891.51/846.51,
Multiple,17,37.4049444444444,-121.917166666667,WPMP430,580 COTTONWOOD,MILPITAS,SANTA CLARA,CA,10,39.372,52.496,Building,C-CUBE MICROSYSTEMS,,,4084908113,4084906200,,1708 MC CARTHY BLVD,MILPITAS,CA,950357417,,TOM LATTIE,SPECTRUM RESOURCES,,,,4082557910,,10525 MIRA VISTA RD,CUPERTINO,CA,950142707,,,/461.725,,,,
Multiple,17,37.4049444444444,-121.917166666667,WPQG402,508 COTTONWOOD DR,MILPITAS,SANTA CLARA,CA,10,39.372,52.496,Building,DIVICOM,,,4084906178,4084906200,,1708 MC CARTHY BLVD,MILPITAS,CA,950357417,,RICKY LEM,SPECTRUM RESOURCES,,,,4082557910,,10525 MIRA VISTA RD,CUPERTINO,CA,951042707,,,/463.225,,,,
Multiple,18,37.4032777777778,-121.928277777778,WNCY903,,,SANTA CLARA,CA,,,,NA,FINNIGAN CORPORATION,,,4084334800,4084334823,,355 RIVER OAKS PKY,SAN JOSE,CA,951341991,,,SPECTRUM RESOURCES,,,,4082557910,,10525 MIRA VISTA RD,CUPERTINO,CA,950142707,,,/461.3375/466.3375,,,,
Multiple,18,37.4032777777778,-121.928277777778,WPTW649,,SAN JOSE,SANTA CLARA,CA,,,,NA,FINNIGAN CORPORATION,,,4089656500,4088656810,,355 RIVER OAKS PKWY,SAN JOSE,CA,951341991,,NICK CHAVEZ,Business Radio Licensing,Jerry,Walker,9493488510,9493488514,info@businessradiolicensing.com,30251 Golden Lantern Suite E #501,Laguna Niguel,CA,92677    ,,,/461.3375/466.3375,,,,
Multiple,19,37.4088333333333,-121.929666666667,WNXM879,3500 ZANKER RD HOSPITAL WATER TWR,SAN JOSE,SANTA CLARA,CA,7,,,NA,CALIFORNIA STATE OF,,,9166576153,9166579233,radiolicensing@caloes.ca.gov,601 SEQUOIA PACIFIC BLVD,SACRAMENTO,CA,958110231,,RADIO LICENSING,CALIFORNIA STATE OF,,,9166579343,9166579233,radiolicensing@caloes.ca.gov,601 SEQUOIA PACIFIC BLVD,SACRAMENTO,CA,958110231,,,/859.2625/859.2625/854.3625/854.3625,,,,
